,File,X,Y,color
0,Z0013,4.0267243,6.2020874,#fea993
1,Z0026,4.065148,6.4376593,#fea993
2,Z0039,3.9966376,6.8343177,#fea993
3,Z0041,3.9734485,7.956033,#fea993
4,Z0049,4.1221447,6.463229,#fea993
5,Z0098,3.8289855,7.2290545,#fea993
6,Z0105,4.474554,5.6682286,#fea993
7,Z0129,4.833767,5.4041743,#fea993
8,Z0169,2.5963461,10.087124,#fea993
9,Z0179,4.540694,5.952624,#fea993
10,Z0187,4.2016196,5.873315,#fea993
11,Z0190,3.7770562,7.296337,#fea993
12,Z0191,4.4041195,5.941077,#fea993
13,Z0201,4.335612,5.543082,#fea993
14,Z0246,2.6786077,10.176439,#fea993
15,Z0260,3.9023964,7.1044106,#fea993
16,Z0285,3.506939,7.685642,#fea993
17,Z0287,4.6477237,5.3677597,#fea993
18,Z0312,4.360269,5.910849,#fea993
19,Z0322,3.0925167,10.09588,#fea993
20,Z0352,4.2624083,5.9092956,#fea993
21,Z0357,3.8817043,6.936691,#fea993
22,Z0361,4.3321176,5.804848,#fea993
23,Z0383,3.9626708,6.8872886,#fea993
24,Z0451,4.7548857,5.262842,#fea993
25,L0309,7.0791264,3.2134428,#a2cffe
26,L0491,8.772723,2.3505042,#a2cffe
27,L0710,9.051332,1.0717115,#a2cffe
28,L0712,8.62229,2.4440258,#a2cffe
29,L0722,5.8735757,4.3022313,#a2cffe
30,L0726,5.120535,4.9327602,#a2cffe
31,L0728,5.646373,4.5146713,#a2cffe
32,L0735,5.3841467,4.7525945,#a2cffe
33,L0743,7.723482,2.7519293,#a2cffe
34,L0745,5.5840216,4.5733356,#a2cffe
35,L2001,5.4837737,4.6718683,#a2cffe
36,L2002,4.2499323,5.680316,#a2cffe
37,L2003,4.3513517,5.946254,#a2cffe
38,L2004,5.4195285,4.7356153,#a2cffe
39,L2005,4.426016,6.1670976,#a2cffe
40,L2006,2.7348409,9.723359,#a2cffe
41,L2007,4.4411116,5.139852,#a2cffe
42,L2008,5.6379757,4.5307665,#a2cffe
43,L2009,7.3414907,2.9148219,#a2cffe
44,L2010,7.9677706,1.389718,#a2cffe
45,L2011,5.340558,4.784335,#a2cffe
46,L2012,5.729391,4.44691,#a2cffe
47,L2013,7.64308,2.851843,#a2cffe
48,L2014,5.565819,4.5896893,#a2cffe
49,L2015,7.485568,2.5850222,#a2cffe
50,R0720,5.7428603,4.312741,#9be5aa
51,R0721,0.8647627,2.119219,#9be5aa
